product_id,product_name,carbon_impact,energy_impact,water_impact,waste_generated_kg
P001,Reinforced Concrete,425.00000000000006,4500.0,150000.0,2625.0
P002,Structural Steel Beam,1150.0,12500.0,90000.0,525.0
P003,Engineered Wood Beam,110.0,1100.0,8000.0,105.0
P004,Clay Brick,5.0,50.0,100.0,2.75
P005,Glass Panel,360.0,3600.0,10000.0,52.5
P006,Copper Wire,240.0,2400.0,5000.0,10.5
P007,Aluminum Cladding,62.0,620.0,4800.0,21.0
P008,Insulation Board,0.0,0.0,0.0,15.75
P009,Plastic Pipe,0.0,0.0,0.0,5.25
P010,Cement Block,33.0,330.0,2500.0,21.0
P011,Steel Rebar,230.0,2500.0,18000.0,105.0
P012,Wood Flooring,55.0,550.0,4000.0,52.5
P013,Glass Window,288.0,2880.0,8000.0,42.0
P014,Copper Pipe,192.0,1920.0,4000.0,8.4
P015,Mineral Wool Insulation,0.0,0.0,0.0,12.6
P016,Concrete Block,2.55,27.0,900.0,15.75
P017,Clay Roof Tile,4.0,40.0,80.0,2.2
P018,Aluminum Window Frame,46.5,465.0,3600.0,15.75
P019,Steel Roof Panel,184.0,2000.0,14400.0,84.0
P020,Wood Stud,33.0,330.0,2400.0,31.5
